"ردیف","عنوان","نوع","شهر","استان","سازمان","منبع","تاریخ انتشار","مهلت","موضوعات","نشانی"
"1","اجرای اسفالت معابر و خیابان های روستای رودزیر","استعلام","","کشور","نبض پیمان تجمیعکننده کشوری","نبض پیمان (تجمیع‌کننده کشوری)","1405/07/02","","آسفالت و قیر","https://nabzepeyman.ir/استعلام_بها/7499729/اجرای-اسفالت-معابر-و-خیابان-های-روستای-رودزیر"
"2","مناقصه عمومی یک مرحله ای مناقصه عمومی زیرسازی و اسفالت معابر خاکی شهرک امید محله قشمی ها مربوط به بافت ناکارامد طرح بازافرینی","مناقصه","کرمان","کشور","نبض پیمان تجمیعکننده کشوری","نبض پیمان (تجمیع‌کننده کشوری)","1405/07/02","","آسفالت و قیر، زیرسازی و معابر","https://nabzepeyman.ir/مناقصه/668446/مناقصه-عمومی-یک-مرحله-ای-مناقصه-عمومی-زیرسازی-و-اسفالت-معابر-خاکی-شهرک-امید-محله-قشمی-ها-مربوط-به-بافت-ناکارامد-طرح-بازا"
"3","اجرای عملیات اسفالت مکانیزه معابر سطح شهر شهرداری چهاردانگه","سایر","چهاردانگه","تهران","چهاردانگه","سامانه امور قراردادهای دهیاری‌های استان تهران","1405/06/24","1405/07/04","آسفالت و قیر","http://93.114.107.36:81/#/deals/details/5a028c1c-2ffc-4bbc-b166-296bcd645378"
"4","اجرای عملیات احداث زیرسازی و ترمیم اسفالت معابر اوشان دستی و مکانیزه شهرداری اوشان فشم و میگون","سایر","تهران","تهران","سامانه امور قراردادهای دهیاریهای استان تهران","سامانه امور قراردادهای دهیاری‌های استان تهران","1405/06/24","1405/07/04","آسفالت و قیر، ساختمان و ابنیه، زیرسازی و معابر","http://93.114.107.36:81/#/deals/details/dea06aeb-0678-4a9c-a593-512cc1747088"
"5","پخت و پخش اسفالت با سهمیه قیرشهرداری نسیم شهر","سایر","نسیم شهر","تهران","نسیم شهر","سامانه امور قراردادهای دهیاری‌های استان تهران","1405/06/24","1405/07/04","آسفالت و قیر","http://93.114.107.36:81/#/deals/details/2bfaf6dc-9d40-4a87-b380-5b1ada393fd4"
"6","اجرای عملیات احداث زیرسازی و ترمیم اسفالت معابر میگون دستی شهرداری اوشان فشم و میگون","سایر","تهران","تهران","سامانه امور قراردادهای دهیاریهای استان تهران","سامانه امور قراردادهای دهیاری‌های استان تهران","1405/06/24","1405/07/04","آسفالت و قیر، ساختمان و ابنیه، زیرسازی و معابر","http://93.114.107.36:81/#/deals/details/7c7ee9f6-c1c9-46de-83b7-735a1175ca8c"
"7","اجرای عملیات احداث زیرسازی و ترمیم اسفالت معابر میگون نو دستی و مکانیزه شهرداری اوشان فشم و میگون","سایر","تهران","تهران","سامانه امور قراردادهای دهیاریهای استان تهران","سامانه امور قراردادهای دهیاری‌های استان تهران","1405/06/24","1405/07/04","آسفالت و قیر، ساختمان و ابنیه، زیرسازی و معابر","http://93.114.107.36:81/#/deals/details/52f83ad5-f4be-44cc-a5ea-b4d03127ec48"
"8","اجرای عملیات احداث زیرسازی و ترمیم اسفالت معابر فشم دستی و مکانیزه شهرداری اوشان فشم و میگون","سایر","تهران","تهران","سامانه امور قراردادهای دهیاریهای استان تهران","سامانه امور قراردادهای دهیاری‌های استان تهران","1405/06/24","1405/07/04","آسفالت و قیر، ساختمان و ابنیه، زیرسازی و معابر","http://93.114.107.36:81/#/deals/details/99116fc3-5b9e-4fda-ab4a-ce231659d1c9"
"9","اغاز عملیات شبانه بهسازی جاده ملارد پرترددترین معبر شهر فردیس","سایر","فردیس","البرز","شهرداری فردیس","شهرداری فردیس","1405/05/07","","آسفالت و قیر، تخریب و بازسازی، ساختمان و ابنیه","https://shahrdarifardis.ir/%d8%a2%d8%ba%d8%a7%d8%b2-%d8%b9%d9%85%d9%84%db%8c%d8%a7%d8%aa-%d8%b4%d8%a8%d8%a7%d9%86%d9%87-%d8%a8%d9%87%d8%b3%d8%a7%d8%b2%db%8c-%d8%ac%d8%a7%d8%af%d9%87-%d9%85%d9%84%d8%a7%d8%b1%d8%af%d8%8c-%d9%be/"
"10","تداوم نهضت بهسازی معابر در منطقه یک فردیس","سایر","فردیس","البرز","شهرداری فردیس","شهرداری فردیس","1405/04/30","","آسفالت و قیر، جدول‌گذاری، تخریب و بازسازی، ساختمان و ابنیه، زیرسازی و معابر","https://shahrdarifardis.ir/%d8%aa%d8%af%d8%a7%d9%88%d9%85-%d9%86%d9%87%d8%b6%d8%aa-%d8%a8%d9%87%d8%b3%d8%a7%d8%b2%db%8c-%d9%85%d8%b9%d8%a7%d8%a8%d8%b1-%d8%af%d8%b1-%d9%85%d9%86%d8%b7%d9%82%d9%87-%db%8c%da%a9-%d9%81%d8%b1%d8%af/"
